texto,intent,cluster
"Ok, muito obrigada 😊",agradecimento,5
"Eu quero comprar esses acessórios, como faço?",outros,6
😍,outros,1
Vamos marcar ☺️,outros,1
Sim,outros,10
Pode ser?,outros,10
Aí entro em contato vocês,outros,9
Agora estou organizando as coisas,outros,9
Em março eu vou produzir reposição e cores novas de tudo,disponibilidade,9
Tudo bem?,outros,10
Ei Ana,outros,2
Aguardo ansiosa pelos seus pisantes na curadobia,outros,2
"Os brincos argola frontal, não sei o nome da peça kkk",outros,6
Gostei da corrente dourada também.,outros,11
Macacões com mangas,outros,11
"Boa tarde, me interessei pelos macacões, com zíper mostrados pela Bia.",saudacao,11
Comprei a jaqueta 😻,outros,6
Chico Neto CD Maré Mar WhatsApp 11965621065 http://palcomp3.com/chiconetodaparaiba/,onde_comprar,0
Amando ♥️♥️♥️,outros,2
Já comprei 3 peças da curadobia,outros,6
Que honra 😍😍😍,outros,11
Linda essa blusa,outros,11
"Deu certo, sim. Obrigada",agradecimento,5
"Perfeito, Ana. Obrigada pelo retorno. 😊",agradecimento,5
"Olá, td bem? Fiz uma compra com vc e recebi apenas o tricot. Vc pode me ajudar ? Muito obrigada desde já !",saudacao,12
👏,outros,4
"Muito obrigada, elas entraram em contato comigo. Realmente a sandália é linda , mas infelizmente fico um pouco fora $$$ pra mim !",agradecimento,12
Chama no mkt@gammba.com,outros,0
Oie,saudacao,2
"Gostei do conjunto, mas não vi no site",outros,6
🥰,outros,4
Obrigada!,agradecimento,5
"Oii, Bia! Tudo bem? Por favor, de onde é essa calça? Yes I am? Procurei aqui no feed e não encontrei… obrigada!",saudacao,6
Legal mto obrigada 💚,agradecimento,13
Qual a marca do tenis?,outros,6
Na torcida ❤️,outros,2
"Olá! Onde encontro os sapatos? Este e as gladiadoras, especialmente.",saudacao,6
11 99635.2663,outros,0
Vocês tem loja física?,disponibilidade,12
Vou olhar aqui meu anti virus.. Pq ele bloqueia o curadobia... Veja:,outros,9
Oii O site Curadobia está fora do ar?? Fui visitar através dos link da Bio e não funcionou ... bjs,saudacao,12
Fiz o processo 2x Será q cobrou 2x?,outros,9
Olá. Tentei fazer uma compra e após entrar com os dados do cartão e senha vem a seguinte tela,outros,12
"Visto G, qual tamanho seria? Quais cores tem? Tem a calça tb?",duvida_tamanho,3
😮,outros,2
👏,outros,4
👏,outros,4
👏,outros,4
Lindo o evento! Amei,agradecimento,11
"Sim, obrigada",agradecimento,5
Boa tarde! A jaqueta off da Nauanim voltou?,saudacao,6
Experimentei essa jaqueta. Maravilhosa,agradecimento,6
"Precisei sair correndo por um problema com minha filha, que ja esta bem! Mas nem consegui me despedir! Obrigada queridas pelo convite!!!",agradecimento,9
"Olá, sou o gerente de vendas da PG Game Platform. Quero falar com você sobre parcerias. Nossa plataforma foi licenciada conjuntamente pelo governo federal brasileiro e pelo governo de Curaçao em outubro. Você pode se juntar a nós e lhe daremos altas comissões. Entre em contato comigo pelo WhatsApp: +13434802605",onde_comprar,0
"E eu, como estou na praia, torcendo para não baixar!!!!!🤣🤣🤣",outros,9
A calça ficou sobrando muito atrás.,duvida_tamanho,6
Acabei de comprar um conjunto. Se não servir posso trocar? Pelo seu cep deve ser perto da minha casa. O meu 04531-020,troca_devolucao,12
"Oieee, obrigada de verdade 💖",saudacao,5
"Oiii! Tudo bem? Me chamo Caroline sou formada em Marketing e trabalho como Social Media tem um tempinho, estou a procura de uma nova oportunidade no mercado de trabalho. Gostaria de saber se tem um espacinho no time de vocês, vou deixar o meu número, e-mail e portfólio. Caso queria marcar uma call para falarmos mais estou por aqui. Cel: (11) 94443-8896 E-mail: cspereiramkt@gmail.com Portfólio: https://cspereira.my.canva.site/ Obrigada desde já 💖",disponibilidade,0
🖤🖤🖤,outros,2
Não estou conseguindo entrar no site para fazer compra,outros,12
"Ok, obrigada.",agradecimento,5
"Não gosto de nada apertado, mas essa blusa tem um Shane mais ajustado. Daí fiquei na dúvida.",disponibilidade,3
M,duvida_tamanho,2
"Bom dia. Estou interessada na blusa PAH, mas estou em dúvida quanto ao tamanho. Minhas medidas: busto 92 cm e cintura 75 cm.",duvida_tamanho,3
Ok!! Entendi. Obrigada pelo retorno. Um abraço,agradecimento,5
"Como uma crítica construtiva, vcs deveriam mandar um e-mail para confirmar o pedido. Compro bastante on-line e sempre vem o e-mail do status do pedido!! O cliente fica mais seguro da compra.",duvida_tamanho,0
Olá!! Obrigada. Qual a previsão de entrega?,prazo_entrega,0
Ok! Obrigada. Vi que foi lançado no meu cartão de crédito.,preco_pagamento,12
Boa tarde!! Fiz um pedido de uma blusa Brilhei no dia 13/01. Não recebi nenhum e-mail de confirmação. Será que está tudo certo? Meu nome é Cristiane Rocha Loures Brenner.,saudacao,0
Sua roupa jeans é de onde?,outros,6
Ebaaaaa,outros,2
Obrigada. No aguardo que seja disponibilizado o envio.,agradecimento,0
Reagiu com 😢 à sua mensagem,outros,8
Boa tarde. Gostaria de saber se vocês enviam para fora do Brasil. Obrigada.,saudacao,2
Ahh Reptilia adoro,outros,11
Olá! Esse conjunto ainda não está disponvel no site de vcs né ? Poderia me dizer se onde é?,saudacao,6
Obrigada,agradecimento,13
Oi! Esse conjunto marrom é vendido também ?,saudacao,6
😍,outros,1
Ok obrigada,agradecimento,5
Boa noite ! Haverá reposição da saia única preta no tamanho 1 ?,duvida_tamanho,3
"Não vou trocar , vou tentar reduzir o gancho",troca_devolucao,9
Tudo bem,outros,4
"De todo modo , agradeço por perguntar",outros,5
Mas a experiência de compra não foi legal,outros,12
"O produto é lindo , apesar de ter ficando um pouco grande",outros,3
Por muito pouco a minha frustração seria ainda maior,outros,9
Muito tenso,outros,2
E o body me chega HOJE,outros,9
Paguei Sedex porque estou indo hoje pra Londres e queria levar o body,outros,12
"Enfim , por muito pouco não me atende",outros,9
Precisei escrever em uma postagem,outros,8
No e-mail da nota fiscal não tem nada,disponibilidade,12
Não tem um link de comunicação no WhatsApp,disponibilidade,0
E achei muito difícil o contato com vcs,outros,12
Então era pra ter pago menos a meu ver,outros,12
Mas paguei por uma coisa que não recebi,outros,12
Chegou,outros,2
???,outros,10
Com quem falo B,outros,9
Era pra ter chegado ontem,outros,9
Mas a peça ainda não chegou,outros,9
Comprei um body e paguei frete de 7 dias úteis pra levar pra uma viagem agora na sexta,prazo_entrega,12
Como falo com alguém daí,outros,9
Olá,saudacao,0
👏,outros,4
Muito obrigada pela atenção!,agradecimento,5
Tá joia.,outros,4
Estou vendo pelo celular sim.,outros,9
"Boa tarde! Na página da Regata podrinha cinza eu não consigo ver as medidas dos tamanhos acima do G, que são justamente o que visto. Poderia me enviar essas medidas dos tamanhos GG e XGG, por favor?",outros,3
Obrigada,agradecimento,13
Ok,outros,4
"Estou com duvidas sobre o tamanho da saia Unica, visto 42 , mas as medidas no quadro de tamanhos parecem grandes, mas existe a informação de que o tamanho 1 corresponde ao 36….",duvida_tamanho,3
Boa noite.,saudacao,14
É o pedido 502!,outros,13
"Tranquilo, obrigada!",agradecimento,5
"Na verdade foi o porteiro, rs!",outros,9
Sim!,outros,10
"Olá meninas, tudo bem? Comprei a saia preta da d aura em outubro, precisei trocar (foram rapidíssimos), mas só hoje eu soube que não levaram a sacola com a peça a ser trocada (ficou este tempo todo na minha portaria). Como faço?",troca_devolucao,6
Já comprei! E acabou de chegar!!,outros,12
"Deixa eu tirar outra dúvida, vc faz consultoria de imagem/estilo tb? Se sim, como funciona?",outros,0
Ah que bom!! É lindíssima!! Parabéns.,outros,11
Consegue me informar de onde é essa sandália?,outros,6
"Ola, tudo bem? Meu nome é Gisela, acabei de fazer um pedido.",saudacao,0
Olá! Como tirar dúvidas de tamanho da peça?,duvida_tamanho,3
"Oi, as compras são direto no site?",saudacao,12
👏,outros,4
Obrigada pelo retorno!,agradecimento,5
"Claro, mando tudo la",outros,9
"Oi Bia, tudo bem? Me chamo Alice, sou sócia da Monti, uma marca de moda que preza por estilo atemporal e peças de qualidade. Estamos buscando consultoras de imagem parceiras para recomendar nossas peças aos seus clientes, e pensei que poderíamos criar algo bem legal juntas! O que acha de agendarmos um papo para te contar mais sobre a nossa história e a ideia de parceria? Fico no aguardo!",pedido_sugestao,0
"Ótimo, me avise por favor. Um abraço e obrigada",agradecimento,5
"Oi Ana boa tarde! Obrigada pelo contato. Sim, estou interessada. Tentei comprar após a mensagem da Bia mas ainda estava indisponível",saudacao,0
"Oi, pessoal, tudo bem? Mariele da Icon aqui. Adoraria apresentar a agência e os talentos que representamos para vocês. Acredito que temos uma super sinergia e que seria lindo colaborarmos futuramente! Qual o melhor contato para falarmos disso, por favor? Muito obrigada!",saudacao,0
"Ola meninas seguem meus contatos: +1(917)868-9790 Daniela.masson@hotmail.com Muito bom falar com vcs ontem, obrigada ! Falamos na sequência por WhatsApp 🌷",onde_comprar,0
Obrigada ! Até lá,agradecimento,13
Daniela.masson@hotmail.com,outros,0
Fechado 3pm brasil !,outros,2
"Acho ótimo. Pode ser segunda 29 na parte da tarde. Estamos com 4horas de fuso, qual horário seria bom pra vc?",outros,9
https://www.instagram.com/queensgatestore?igsh=Mjc0c2g5cHNmN25k&utm_source=qr,onde_comprar,7
Feliz demais q vc gostou ! ☺️☺️☺️ me fala como funciona melhor pra vc e marcamos um call,outros,8
"Ola Bia sou a Daniela e gostaria de apresentar minha marca pra vc, a Queens Gate. Minha sócia e eu já te acompanhamos tem um bom tempo e somos muito fãs! A sua curadoria com seus ""neutros com tcharanz"" reforçou a vontade de apresentar o conceito da nossa marca pra vc. Vamos completar 1 ano em agosto e adoraríamos um bate papo com vc pra contar nossa história e nossos planos. Moro em Londres e minha sócia em SP e vou deixar meu WhatsApp pessoal por conta do fuso aqui e mando o link do nosso insta pra vc dar uma olhadinha 😉 Obrigada ! +1(917)868-9790",disponibilidade,0
"Olá!! Bom dia!! Sou muito fã da Bia, mas nunca comprei no Curadoria. Uma dúvida: como faço para escolher um tamanho com mais segurança? Tem uma tabela de medidas para servir de referência? Obrigada",duvida_tamanho,3
Ok. Obrigada 😊,agradecimento,5
Qual o endereço???,outros,0
😍,outros,1
Nossa . Perfeito,agradecimento,4
Muito estilo,outros,11
Vc teria alguma informação sobre a minha encomenda?,outros,12
Bom dia,saudacao,14
Parece que o contato por aqui não é satisfatório...,outros,9
"Vc poderia checar se houve algum problema com os correios de São Paulo, pois nem chegou no correio de Curitiba",outros,12
"Boa tarde. Estava previsto pra chegar hoje minha encomenda, porém nada foi entregue",saudacao,12
Obrigada,agradecimento,13
Por onde posso acompanhar o envio da minha compra?,outros,12
Como eu poderia rastrear minha compra?,prazo_entrega,12
Olá,saudacao,0
🥰,outros,4
Eu não recebi email confirmando a compra...,outros,12
Compra realizada,outros,12
Obrigada Ana!!,agradecimento,5
Maravilha,outros,2
Certo. Qual o link da compra?,outros,12
Tô de olho faz tempooo,outros,9
37?? Não creio,outros,13
Yes!!,outros,10
"Eu quero sim, mas vc poderia me enviar a foto do modelo só pra eu confirmar",outros,9
E tem ela preta?,disponibilidade,11
Essa gladiadora!! Qual o número? Tem 37??,disponibilidade,13
"Ainda não , super correria",outros,9
Macacão precisa ser mais soltinho,outros,11
Obrigada pelo retorno,agradecimento,5
Vou checar as minhas medidas e volto com Vcs,duvida_tamanho,9
E quadril ?,duvida_tamanho,2
"E em outras , 42",duvida_tamanho,13
"Pois sou , em algumas marcas , 44",duvida_tamanho,13
Teria as medidas do 42,duvida_tamanho,13
"Por favor , me interessei por este macacão . Quais tamanhos e como comprar ?",duvida_tamanho,11
"Bom dia! Sou a Gianina Marques, mineira, mãe e autora de joias artesanais. Gostaria de deixar meu insta para vcs conhecerem minhas joias feita com carinho e totalmente exclusiva. Aguardo o retorno de vcs q tem tanto conhecimento na área. Desde já obrigada! @gianinamarques",disponibilidade,0
Endereço,outros,2
Como comprar ?,onde_comprar,12
Eu amo todos os seus looks! Combina 100% com o meu estilo! Queria ter todas as peças para mim! Pena que moro do outro lado do mundo.,pedido_sugestao,11
Não consigo deixá-la deste jeito,outros,9
Ai..me Ajuda com o vídeo …. Ainda não usei a blusa!!,outros,3
Que legal! Vai ajudar muito!,agradecimento,5
Obrigada,agradecimento,13
Bom dia! Consegue me mandar o vídeo?,saudacao,12
Já tentei três vezes. Será que pode ser o tamanho?,duvida_tamanho,3
"Boa tarde! Comprei a blusa Pah , mas não consigo deixá-la parecida como da foto… acho que estou usando de forma errada… tem alguma tutorial de como vesti-la ? Rs",outros,3
"Oie!!! São lindas... porém aquele modelo foi o que mais me agradou...mas tranquilo, super obrigada pela atenção",saudacao,11
Oie!! Essa calça vai ter reposição na curadoria?,disponibilidade,6
😍,outros,1
Reagiu com 👍 à sua mensagem,outros,8
"Linda calça, qual é a marca?",outros,6
👏,outros,4
😍,outros,1
Falamos por lá,outros,9
Ok,outros,4
Estou tentando contato para devolução de mercadoria e ninguém me atende! Nem por WhatsApp e nem e-mail. Comprei um vestido que quero devolver. Como devo proceder? Cristina Hees 11 970499507,troca_devolucao,12
Beijos,despedida,2
Mas super entendi e aproveito pra agradecer e elogiar seu trabalho,outros,5
É fato! Perguntei pois está a procurando uma peça e não encontrava,outros,6
"Tudo bem Bia Gostaria muito de saber se nesta sua plataforma vc assiste aos clientes em encontrar produtos, lojas, etc?",outros,12
Olá Bia Tudo bem?,saudacao,10
Obaaaa,outros,2
PARABÉNS!!! Excelente ideia!!! Vim pelo insta da Glória Kalil 😍 - Torcendo por mais um SUCESSO!,onde_comprar,11
Uauuu ameiii! Linda saia!,outros,11
👏,outros,4
